V1,V2,V3
-19.247491638796,57.9329896907216,-1063.28002929688
-19.180602006689,57.9329896907216,-1030.17004394531
-19.1137123745819,57.9329896907216,-963.56005859375
-19.0468227424749,57.9329896907216,-871.270080566406
-18.9799331103679,57.9329896907216,-821.640075683594
-18.9130434782609,57.9329896907216,-812.625061035156
-18.8461538461538,57.9329896907216,-817.845031738281
-18.7792642140468,57.9329896907216,-821.1650390625
-18.7123745819398,57.9329896907216,-835.265014648438
-18.6454849498328,57.9329896907216,-857.535034179688
-18.5785953177258,57.9329896907216,-871.125061035156
-18.5117056856187,57.9329896907216,-866.115051269531
-18.4448160535117,57.9329896907216,-848.905029296875
-18.3779264214047,57.9329896907216,-834.039978027344
-18.3110367892977,57.9329896907216,-843.580017089844
-18.2441471571906,57.9329896907216,-860.909973144531
-18.1772575250836,57.9329896907216,-869.969970703125
-18.1103678929766,57.9329896907216,-896.989990234375
-18.0434782608696,57.9329896907216,-875.239990234375
-17.9765886287625,57.9329896907216,-829.070007324219
-17.9096989966555,57.9329896907216,-767.77001953125
-17.8428093645485,57.9329896907216,-724.617431640625
-17.7759197324415,57.9329896907216,-719.957458496094
-17.7090301003344,57.9329896907216,-702.567443847656
-17.6421404682274,57.9329896907216,-706.487487792969
-17.5752508361204,57.9329896907216,-760.607482910156
-17.5083612040134,57.9329896907216,-824.387451171875
-17.4414715719064,57.9329896907216,-920.107482910156
-17.3745819397993,57.9329896907216,-1024.33740234375
-17.3076923076923,57.9329896907216,-1092.06762695312
-17.2408026755853,57.9329896907216,-1117.44763183594
-17.1739130434783,57.9329896907216,-1136.73767089844
-17.1070234113712,57.9329896907216,-1189.20764160156
-17.0401337792642,57.9329896907216,-1182.77758789062
-16.9732441471572,57.9329896907216,-1155.52758789062
-16.9063545150502,57.9329896907216,-1138.09765625
-16.8394648829431,57.9329896907216,-1127.18762207031
-16.7725752508361,57.9329896907216,-1129.61499023438
-16.7056856187291,57.9329896907216,-1125.8349609375
-16.6387959866221,57.9329896907216,-1126.14501953125
-16.5719063545151,57.9329896907216,-1129.35498046875
-16.505016722408,57.9329896907216,-1138.09497070312
-16.438127090301,57.9329896907216,-1135.68505859375
-16.371237458194,57.9329896907216,-1127.28503417969
-16.304347826087,57.9329896907216,-1117.59497070312
-16.2374581939799,57.9329896907216,-1111.23498535156
-16.1705685618729,57.9329896907216,-1112.07507324219
-16.1036789297659,57.9329896907216,-1109.03503417969
-16.0367892976589,57.9329896907216,-1099.53503417969
-15.9698996655518,57.9329896907216,-1091.21496582031
-15.9030100334448,57.9329896907216,-1086.69506835938
-15.8361204013378,57.9329896907216,-1080.97497558594
-15.7692307692308,57.9329896907216,-1072.42504882812
-15.7023411371237,57.9329896907216,-1061.68762207031
-15.6354515050167,57.9329896907216,-1059.27758789062
-15.5685618729097,57.9329896907216,-1076.68762207031
-15.5016722408027,57.9329896907216,-1105.0576171875
-15.4347826086957,57.9329896907216,-966.53759765625
-15.3678929765886,57.9329896907216,-839.407653808594
-15.3010033444816,57.9329896907216,-772.567626953125
-15.2341137123746,57.9329896907216,-710.967651367188
-15.1672240802676,57.9329896907216,-663.0400390625
-15.1003344481605,57.9329896907216,-622.760009765625
-15.0334448160535,57.9329896907216,-592.960021972656
-14.9665551839465,57.9329896907216,-565.640014648438
-14.8996655518395,57.9329896907216,-557.989990234375
-14.8327759197324,57.9329896907216,-541.110046386719
-14.7658862876254,57.9329896907216,-505.390014648438
-14.6989966555184,57.9329896907216,-467.250030517578
-14.6321070234114,57.9329896907216,-448.880004882812
-14.5652173913043,57.9329896907216,-420.72998046875
-14.4983277591973,57.9329896907216,-390.739990234375
-14.4314381270903,57.9329896907216,-344
-14.3645484949833,57.9329896907216,-297.089996337891
-14.2976588628763,57.9329896907216,-265.519989013672
-14.2307692307692,57.9329896907216,-251.959991455078
-14.1638795986622,57.9329896907216,-234.339996337891
-14.0969899665552,57.9329896907216,-218.664993286133
-14.0301003344482,57.9329896907216,-208.964996337891
-13.9632107023411,57.9329896907216,-201.294998168945
-13.8963210702341,57.9329896907216,-191.69499206543
-13.8294314381271,57.9329896907216,-178.19499206543
-13.7625418060201,57.9329896907216,-172.804992675781
-13.695652173913,57.9329896907216,-169.924987792969
-13.628762541806,57.9329896907216,-172.964996337891
-13.561872909699,57.9329896907216,-180.775039672852
-13.494983277592,57.9329896907216,-189.965042114258
-13.4280936454849,57.9329896907216,-198.185043334961
-13.3612040133779,57.9329896907216,-208.215042114258
-13.2943143812709,57.9329896907216,-211.375045776367
-13.2274247491639,57.9329896907216,-217.465042114258
-13.1605351170569,57.9329896907216,-231.265045166016
-13.0936454849498,57.9329896907216,-251.365036010742
-13.0267558528428,57.9329896907216,-362.682495117188
-12.9598662207358,57.9329896907216,-883.052490234375
-12.8929765886288,57.9329896907216,-1186.00244140625
-12.8260869565217,57.9329896907216,-1351.8525390625
-12.7591973244147,57.9329896907216,-1446.78247070312
-12.6923076923077,57.9329896907216,-1524.04248046875
